,keyword,type,date,index
1,比特币,all,2015/1/1,5171
1,比特币,all,2015/1/2,5837
1,比特币,all,2015/1/3,8066
1,比特币,all,2015/1/4,11453
1,比特币,all,2015/1/5,9699
1,比特币,all,2015/1/6,7453
1,比特币,all,2015/1/7,7001
1,比特币,all,2015/1/8,5942
1,比特币,all,2015/1/9,6067
1,比特币,all,2015/1/10,5760
1,比特币,all,2015/1/11,5725
1,比特币,all,2015/1/12,7075
1,比特币,all,2015/1/13,8325
1,比特币,all,2015/1/14,14325
1,比特币,all,2015/1/15,12529
1,比特币,all,2015/1/16,8513
1,比特币,all,2015/1/17,7032
1,比特币,all,2015/1/18,7421
1,比特币,all,2015/1/19,9808
1,比特币,all,2015/1/20,8008
1,比特币,all,2015/1/21,7643
1,比特币,all,2015/1/22,8683
1,比特币,all,2015/1/23,6664
1,比特币,all,2015/1/24,6401
1,比特币,all,2015/1/25,7666
1,比特币,all,2015/1/26,10145
1,比特币,all,2015/1/27,9032
1,比特币,all,2015/1/28,7078
1,比特币,all,2015/1/29,7249
1,比特币,all,2015/1/30,6420
1,比特币,all,2015/1/31,5529
1,比特币,all,2015/2/1,5603
1,比特币,all,2015/2/2,6222
1,比特币,all,2015/2/3,6248
1,比特币,all,2015/2/4,6139
1,比特币,all,2015/2/5,5658
1,比特币,all,2015/2/6,5391
1,比特币,all,2015/2/7,4638
1,比特币,all,2015/2/8,7369
1,比特币,all,2015/2/9,7578
1,比特币,all,2015/2/10,6119
1,比特币,all,2015/2/11,5163
1,比特币,all,2015/2/12,4686
1,比特币,all,2015/2/13,5014
1,比特币,all,2015/2/14,4655
1,比特币,all,2015/2/15,5378
1,比特币,all,2015/2/16,5545
1,比特币,all,2015/2/17,4816
1,比特币,all,2015/2/18,3610
1,比特币,all,2015/2/19,4083
1,比特币,all,2015/2/20,4624
1,比特币,all,2015/2/21,4209
1,比特币,all,2015/2/22,4407
1,比特币,all,2015/2/23,4453
1,比特币,all,2015/2/24,4235
1,比特币,all,2015/2/25,4695
1,比特币,all,2015/2/26,5892
1,比特币,all,2015/2/27,7288
1,比特币,all,2015/2/28,6366
1,比特币,all,2015/3/1,5921
1,比特币,all,2015/3/2,6794
1,比特币,all,2015/3/3,6574
1,比特币,all,2015/3/4,7422
1,比特币,all,2015/3/5,6034
1,比特币,all,2015/3/6,5451
1,比特币,all,2015/3/7,5291
1,比特币,all,2015/3/8,5153
1,比特币,all,2015/3/9,6065
1,比特币,all,2015/3/10,7110
1,比特币,all,2015/3/11,6637
1,比特币,all,2015/3/12,7171
1,比特币,all,2015/3/13,6230
1,比特币,all,2015/3/14,6730
1,比特币,all,2015/3/15,5883
1,比特币,all,2015/3/16,6216
1,比特币,all,2015/3/17,5702
1,比特币,all,2015/3/18,6287
1,比特币,all,2015/3/19,6645
1,比特币,all,2015/3/20,5894
1,比特币,all,2015/3/21,4806
1,比特币,all,2015/3/22,4879
1,比特币,all,2015/3/23,5686
1,比特币,all,2015/3/24,6109
1,比特币,all,2015/3/25,6349
1,比特币,all,2015/3/26,6017
1,比特币,all,2015/3/27,5556
1,比特币,all,2015/3/28,4832
1,比特币,all,2015/3/29,4770
1,比特币,all,2015/3/30,5746
1,比特币,all,2015/3/31,5470
1,比特币,all,2015/4/1,5403
1,比特币,all,2015/4/2,6141
1,比特币,all,2015/4/3,5048
1,比特币,all,2015/4/4,4262
1,比特币,all,2015/4/5,4139
1,比特币,all,2015/4/6,4647
1,比特币,all,2015/4/7,6228
1,比特币,all,2015/4/8,6033
1,比特币,all,2015/4/9,5641
1,比特币,all,2015/4/10,5326
1,比特币,all,2015/4/11,5010
1,比特币,all,2015/4/12,4674
1,比特币,all,2015/4/13,5309
1,比特币,all,2015/4/14,7747
1,比特币,all,2015/4/15,6331
1,比特币,all,2015/4/16,5733
1,比特币,all,2015/4/17,5842
1,比特币,all,2015/4/18,4875
1,比特币,all,2015/4/19,5061
1,比特币,all,2015/4/20,5623
1,比特币,all,2015/4/21,5895
1,比特币,all,2015/4/22,6007
1,比特币,all,2015/4/23,5565
1,比特币,all,2015/4/24,4977
1,比特币,all,2015/4/25,4442
1,比特币,all,2015/4/26,5583
1,比特币,all,2015/4/27,5674
1,比特币,all,2015/4/28,5483
1,比特币,all,2015/4/29,5042
1,比特币,all,2015/4/30,5037
1,比特币,all,2015/5/1,4525
1,比特币,all,2015/5/2,4265
1,比特币,all,2015/5/3,7724
1,比特币,all,2015/5/4,25956
1,比特币,all,2015/5/5,14019
1,比特币,all,2015/5/6,15349
1,比特币,all,2015/5/7,6810
1,比特币,all,2015/5/8,5791
1,比特币,all,2015/5/9,5353
1,比特币,all,2015/5/10,4922
1,比特币,all,2015/5/11,5593
1,比特币,all,2015/5/12,5638
1,比特币,all,2015/5/13,8248
1,比特币,all,2015/5/14,7195
1,比特币,all,2015/5/15,5993
1,比特币,all,2015/5/16,5575
1,比特币,all,2015/5/17,5308
1,比特币,all,2015/5/18,8038
1,比特币,all,2015/5/19,7510
1,比特币,all,2015/5/20,5938
1,比特币,all,2015/5/21,5500
1,比特币,all,2015/5/22,5222
1,比特币,all,2015/5/23,5055
1,比特币,all,2015/5/24,5008
1,比特币,all,2015/5/25,5877
1,比特币,all,2015/5/26,5478
1,比特币,all,2015/5/27,5558
1,比特币,all,2015/5/28,5765
1,比特币,all,2015/5/29,5274
1,比特币,all,2015/5/30,4960
1,比特币,all,2015/5/31,4841
1,比特币,all,2015/6/1,5149
1,比特币,all,2015/6/2,5335
1,比特币,all,2015/6/3,5147
1,比特币,all,2015/6/4,5312
1,比特币,all,2015/6/5,5043
1,比特币,all,2015/6/6,5096
1,比特币,all,2015/6/7,4858
1,比特币,all,2015/6/8,5087
1,比特币,all,2015/6/9,5269
1,比特币,all,2015/6/10,5134
1,比特币,all,2015/6/11,5151
1,比特币,all,2015/6/12,5012
1,比特币,all,2015/6/13,4699
1,比特币,all,2015/6/14,5095
1,比特币,all,2015/6/15,5281
1,比特币,all,2015/6/16,6228
1,比特币,all,2015/6/17,8069
1,比特币,all,2015/6/18,6702
1,比特币,all,2015/6/19,6024
1,比特币,all,2015/6/20,5149
1,比特币,all,2015/6/21,5510
1,比特币,all,2015/6/22,5519
1,比特币,all,2015/6/23,5681
1,比特币,all,2015/6/24,5472
1,比特币,all,2015/6/25,5500
1,比特币,all,2015/6/26,5558
1,比特币,all,2015/6/27,4926
1,比特币,all,2015/6/28,5253
1,比特币,all,2015/6/29,7133
1,比特币,all,2015/6/30,8582
1,比特币,all,2015/7/1,7295
1,比特币,all,2015/7/2,7243
1,比特币,all,2015/7/3,7356
1,比特币,all,2015/7/4,5770
1,比特币,all,2015/7/5,6170
1,比特币,all,2015/7/6,8714
1,比特币,all,2015/7/7,9330
1,比特币,all,2015/7/8,9275
1,比特币,all,2015/7/9,9296
1,比特币,all,2015/7/10,11694
1,比特币,all,2015/7/11,8855
1,比特币,all,2015/7/12,8464
1,比特币,all,2015/7/13,9815
1,比特币,all,2015/7/14,9442
1,比特币,all,2015/7/15,8059
1,比特币,all,2015/7/16,7783
1,比特币,all,2015/7/17,6897
1,比特币,all,2015/7/18,6099
1,比特币,all,2015/7/19,5916
1,比特币,all,2015/7/20,6430
1,比特币,all,2015/7/21,6311
1,比特币,all,2015/7/22,5996
1,比特币,all,2015/7/23,9323
1,比特币,all,2015/7/24,9649
1,比特币,all,2015/7/25,6568
1,比特币,all,2015/7/26,6879
1,比特币,all,2015/7/27,7450
1,比特币,all,2015/7/28,6864
1,比特币,all,2015/7/29,6585
1,比特币,all,2015/7/30,7891
1,比特币,all,2015/7/31,7547
1,比特币,all,2015/8/1,6888
1,比特币,all,2015/8/2,14802
1,比特币,all,2015/8/3,24677
1,比特币,all,2015/8/4,11560
1,比特币,all,2015/8/5,6853
1,比特币,all,2015/8/6,6332
1,比特币,all,2015/8/7,6319
1,比特币,all,2015/8/8,5921
1,比特币,all,2015/8/9,6275
1,比特币,all,2015/8/10,7254
1,比特币,all,2015/8/11,6967
1,比特币,all,2015/8/12,7055
1,比特币,all,2015/8/13,6228
1,比特币,all,2015/8/14,5571
1,比特币,all,2015/8/15,5476
1,比特币,all,2015/8/16,5422
1,比特币,all,2015/8/17,6667
1,比特币,all,2015/8/18,7551
1,比特币,all,2015/8/19,7920
1,比特币,all,2015/8/20,6320
1,比特币,all,2015/8/21,6601
1,比特币,all,2015/8/22,6150
1,比特币,all,2015/8/23,6379
1,比特币,all,2015/8/24,7559
1,比特币,all,2015/8/25,8889
1,比特币,all,2015/8/26,8164
1,比特币,all,2015/8/27,8518
1,比特币,all,2015/8/28,8179
1,比特币,all,2015/8/29,6574
1,比特币,all,2015/8/30,6855
1,比特币,all,2015/8/31,7984
1,比特币,all,2015/9/1,7175
1,比特币,all,2015/9/2,6178
1,比特币,all,2015/9/3,4742
1,比特币,all,2015/9/4,5531
1,比特币,all,2015/9/5,5771
1,比特币,all,2015/9/6,6967
1,比特币,all,2015/9/7,6575
1,比特币,all,2015/9/8,6768
1,比特币,all,2015/9/9,6753
1,比特币,all,2015/9/10,6499
1,比特币,all,2015/9/11,6286
1,比特币,all,2015/9/12,5781
1,比特币,all,2015/9/13,6168
1,比特币,all,2015/9/14,6734
1,比特币,all,2015/9/15,6089
1,比特币,all,2015/9/16,6165
1,比特币,all,2015/9/17,6375
1,比特币,all,2015/9/18,9915
1,比特币,all,2015/9/19,7420
1,比特币,all,2015/9/20,7686
1,比特币,all,2015/9/21,8824
1,比特币,all,2015/9/22,7617
1,比特币,all,2015/9/23,7333
1,比特币,all,2015/9/24,6956
1,比特币,all,2015/9/25,6012
1,比特币,all,2015/9/26,5082
1,比特币,all,2015/9/27,4484
1,比特币,all,2015/9/28,6179
1,比特币,all,2015/9/29,6312
1,比特币,all,2015/9/30,5450
1,比特币,all,2015/10/1,4603
1,比特币,all,2015/10/2,4959
1,比特币,all,2015/10/3,5050
1,比特币,all,2015/10/4,5219
1,比特币,all,2015/10/5,5809
1,比特币,all,2015/10/6,7813
1,比特币,all,2015/10/7,7155
1,比特币,all,2015/10/8,7198
1,比特币,all,2015/10/9,7404
1,比特币,all,2015/10/10,6886
1,比特币,all,2015/10/11,5242
1,比特币,all,2015/10/12,6594
1,比特币,all,2015/10/13,7120
1,比特币,all,2015/10/14,6587
1,比特币,all,2015/10/15,6628
1,比特币,all,2015/10/16,6897
1,比特币,all,2015/10/17,7586
1,比特币,all,2015/10/18,6735
1,比特币,all,2015/10/19,10460
1,比特币,all,2015/10/20,7775
1,比特币,all,2015/10/21,6831
1,比特币,all,2015/10/22,6881
1,比特币,all,2015/10/23,8733
1,比特币,all,2015/10/24,7503
1,比特币,all,2015/10/25,8003
1,比特币,all,2015/10/26,9702
1,比特币,all,2015/10/27,7955
1,比特币,all,2015/10/28,17365
1,比特币,all,2015/10/29,24230
1,比特币,all,2015/10/30,14287
1,比特币,all,2015/10/31,9768
1,比特币,all,2015/11/1,15364
1,比特币,all,2015/11/2,10929
1,比特币,all,2015/11/3,14991
1,比特币,all,2015/11/4,24434
1,比特币,all,2015/11/5,23102
1,比特币,all,2015/11/6,18737
1,比特币,all,2015/11/7,14265
1,比特币,all,2015/11/8,13526
1,比特币,all,2015/11/9,16823
1,比特币,all,2015/11/10,17820
1,比特币,all,2015/11/11,14028
1,比特币,all,2015/11/12,15637
1,比特币,all,2015/11/13,12634
1,比特币,all,2015/11/14,10760
1,比特币,all,2015/11/15,11543
1,比特币,all,2015/11/16,12182
1,比特币,all,2015/11/17,13240
1,比特币,all,2015/11/18,12797
1,比特币,all,2015/11/19,11664
1,比特币,all,2015/11/20,12549
1,比特币,all,2015/11/21,9913
1,比特币,all,2015/11/22,9491
1,比特币,all,2015/11/23,9833
1,比特币,all,2015/11/24,9738
1,比特币,all,2015/11/25,9458
1,比特币,all,2015/11/26,11218
1,比特币,all,2015/11/27,10873
1,比特币,all,2015/11/28,8946
1,比特币,all,2015/11/29,8569
1,比特币,all,2015/11/30,10552
1,比特币,all,2015/12/1,10476
1,比特币,all,2015/12/2,9678
1,比特币,all,2015/12/3,9493
1,比特币,all,2015/12/4,8441
1,比特币,all,2015/12/5,8713
1,比特币,all,2015/12/6,9892
1,比特币,all,2015/12/7,10301
1,比特币,all,2015/12/8,10052
1,比特币,all,2015/12/9,14908
1,比特币,all,2015/12/10,21742
1,比特币,all,2015/12/11,17024
1,比特币,all,2015/12/12,14116
1,比特币,all,2015/12/13,12997
1,比特币,all,2015/12/14,11336
1,比特币,all,2015/12/15,11863
1,比特币,all,2015/12/16,11694
1,比特币,all,2015/12/17,10466
1,比特币,all,2015/12/18,8979
1,比特币,all,2015/12/19,8351
1,比特币,all,2015/12/20,8170
1,比特币,all,2015/12/21,10407
1,比特币,all,2015/12/22,10473
1,比特币,all,2015/12/23,11120
1,比特币,all,2015/12/24,10960
1,比特币,all,2015/12/25,9518
1,比特币,all,2015/12/26,9945
1,比特币,all,2015/12/27,8895
1,比特币,all,2015/12/28,9003
1,比特币,all,2015/12/29,9044
1,比特币,all,2015/12/30,8113
1,比特币,all,2015/12/31,7281
1,比特币,all,2016/1/1,7161
1,比特币,all,2016/1/2,6141
1,比特币,all,2016/1/3,6598
1,比特币,all,2016/1/4,8943
1,比特币,all,2016/1/5,7900
1,比特币,all,2016/1/6,7688
1,比特币,all,2016/1/7,9248
1,比特币,all,2016/1/8,8679
1,比特币,all,2016/1/9,7171
1,比特币,all,2016/1/10,6609
1,比特币,all,2016/1/11,7255
1,比特币,all,2016/1/12,7541
1,比特币,all,2016/1/13,7241
1,比特币,all,2016/1/14,6662
1,比特币,all,2016/1/15,7304
1,比特币,all,2016/1/16,11343
1,比特币,all,2016/1/17,9051
1,比特币,all,2016/1/18,9220
1,比特币,all,2016/1/19,7403
1,比特币,all,2016/1/20,7929
1,比特币,all,2016/1/21,10082
1,比特币,all,2016/1/22,10273
1,比特币,all,2016/1/23,7497
1,比特币,all,2016/1/24,7111
1,比特币,all,2016/1/25,7067
1,比特币,all,2016/1/26,7046
1,比特币,all,2016/1/27,6856
1,比特币,all,2016/1/28,6672
1,比特币,all,2016/1/29,6580
1,比特币,all,2016/1/30,5094
1,比特币,all,2016/1/31,4747
1,比特币,all,2016/2/1,5796
1,比特币,all,2016/2/2,5042
1,比特币,all,2016/2/3,4711
1,比特币,all,2016/2/4,4751
1,比特币,all,2016/2/5,4491
1,比特币,all,2016/2/6,3564
1,比特币,all,2016/2/7,2498
1,比特币,all,2016/2/8,2673
1,比特币,all,2016/2/9,3203
1,比特币,all,2016/2/10,3625
1,比特币,all,2016/2/11,4033
1,比特币,all,2016/2/12,4028
1,比特币,all,2016/2/13,4484
1,比特币,all,2016/2/14,5126
1,比特币,all,2016/2/15,5824
1,比特币,all,2016/2/16,6999
1,比特币,all,2016/2/17,7192
1,比特币,all,2016/2/18,7333
1,比特币,all,2016/2/19,6749
1,比特币,all,2016/2/20,5984
1,比特币,all,2016/2/21,6875
1,比特币,all,2016/2/22,7403
1,比特币,all,2016/2/23,7437
1,比特币,all,2016/2/24,7178
1,比特币,all,2016/2/25,7366
1,比特币,all,2016/2/26,6939
1,比特币,all,2016/2/27,6351
1,比特币,all,2016/2/28,6511
1,比特币,all,2016/2/29,8575
1,比特币,all,2016/3/1,8784
1,比特币,all,2016/3/2,8435
1,比特币,all,2016/3/3,8617
1,比特币,all,2016/3/4,8568
1,比特币,all,2016/3/5,7939
1,比特币,all,2016/3/6,7453
1,比特币,all,2016/3/7,8559
1,比特币,all,2016/3/8,8715
1,比特币,all,2016/3/9,8619
1,比特币,all,2016/3/10,8681
1,比特币,all,2016/3/11,8677
1,比特币,all,2016/3/12,6801
1,比特币,all,2016/3/13,6876
1,比特币,all,2016/3/14,8581
1,比特币,all,2016/3/15,7836
1,比特币,all,2016/3/16,7526
1,比特币,all,2016/3/17,7702
1,比特币,all,2016/3/18,7307
1,比特币,all,2016/3/19,6591
1,比特币,all,2016/3/20,6448
1,比特币,all,2016/3/21,7401
1,比特币,all,2016/3/22,7561
1,比特币,all,2016/3/23,7543
1,比特币,all,2016/3/24,8230
1,比特币,all,2016/3/25,6023
1,比特币,all,2016/3/26,5215
1,比特币,all,2016/3/27,5283
1,比特币,all,2016/3/28,6612
1,比特币,all,2016/3/29,6564
1,比特币,all,2016/3/30,6409
1,比特币,all,2016/3/31,7344
1,比特币,all,2016/4/1,6184
1,比特币,all,2016/4/2,5553
1,比特币,all,2016/4/3,5395
1,比特币,all,2016/4/4,5423
1,比特币,all,2016/4/5,5979
1,比特币,all,2016/4/6,6012
1,比特币,all,2016/4/7,6915
1,比特币,all,2016/4/8,6033
1,比特币,all,2016/4/9,5797
1,比特币,all,2016/4/10,5524
1,比特币,all,2016/4/11,6475
1,比特币,all,2016/4/12,8019
1,比特币,all,2016/4/13,8701
1,比特币,all,2016/4/14,6446
1,比特币,all,2016/4/15,6172
1,比特币,all,2016/4/16,4708
1,比特币,all,2016/4/17,3923
1,比特币,all,2016/4/18,5687
1,比特币,all,2016/4/19,4917
1,比特币,all,2016/4/20,5766
1,比特币,all,2016/4/21,5385
1,比特币,all,2016/4/22,5840
1,比特币,all,2016/4/23,7020
1,比特币,all,2016/4/24,7571
1,比特币,all,2016/4/25,7821
1,比特币,all,2016/4/26,7185
1,比特币,all,2016/4/27,8164
1,比特币,all,2016/4/28,8084
1,比特币,all,2016/4/29,6075
1,比特币,all,2016/4/30,5041
1,比特币,all,2016/5/1,4551
1,比特币,all,2016/5/2,9072
1,比特币,all,2016/5/3,14888
1,比特币,all,2016/5/4,9294
1,比特币,all,2016/5/5,7170
1,比特币,all,2016/5/6,7840
1,比特币,all,2016/5/7,11961
1,比特币,all,2016/5/8,6944
1,比特币,all,2016/5/9,8045
1,比特币,all,2016/5/10,7050
1,比特币,all,2016/5/11,6208
1,比特币,all,2016/5/12,8895
1,比特币,all,2016/5/13,7920
1,比特币,all,2016/5/14,6037
1,比特币,all,2016/5/15,6054
1,比特币,all,2016/5/16,6381
1,比特币,all,2016/5/17,6214
1,比特币,all,2016/5/18,5575
1,比特币,all,2016/5/19,5712
1,比特币,all,2016/5/20,5290
1,比特币,all,2016/5/21,5066
1,比特币,all,2016/5/22,5070
1,比特币,all,2016/5/23,5911
1,比特币,all,2016/5/24,6057
1,比特币,all,2016/5/25,6055
1,比特币,all,2016/5/26,6905
1,比特币,all,2016/5/27,8883
1,比特币,all,2016/5/28,8584
1,比特币,all,2016/5/29,12513
1,比特币,all,2016/5/30,19327
1,比特币,all,2016/5/31,15912
1,比特币,all,2016/6/1,10458
1,比特币,all,2016/6/2,9971
1,比特币,all,2016/6/3,10695
1,比特币,all,2016/6/4,7087
1,比特币,all,2016/6/5,7177
1,比特币,all,2016/6/6,7872
1,比特币,all,2016/6/7,7032
1,比特币,all,2016/6/8,8641
1,比特币,all,2016/6/9,5893
1,比特币,all,2016/6/10,5679
1,比特币,all,2016/6/11,6270
1,比特币,all,2016/6/12,10629
1,比特币,all,2016/6/13,62680
1,比特币,all,2016/6/14,15199
1,比特币,all,2016/6/15,13042
1,比特币,all,2016/6/16,15275
1,比特币,all,2016/6/17,16648
1,比特币,all,2016/6/18,12375
1,比特币,all,2016/6/19,11468
1,比特币,all,2016/6/20,23630
1,比特币,all,2016/6/21,14546
1,比特币,all,2016/6/22,12268
1,比特币,all,2016/6/23,13294
1,比特币,all,2016/6/24,14627
1,比特币,all,2016/6/25,10333
1,比特币,all,2016/6/26,8515
1,比特币,all,2016/6/27,9844
1,比特币,all,2016/6/28,9705
1,比特币,all,2016/6/29,12497
1,比特币,all,2016/6/30,9042
1,比特币,all,2016/7/1,10757
1,比特币,all,2016/7/2,7941
1,比特币,all,2016/7/3,7470
1,比特币,all,2016/7/4,8313
1,比特币,all,2016/7/5,8095
1,比特币,all,2016/7/6,8050
1,比特币,all,2016/7/7,8920
1,比特币,all,2016/7/8,8773
1,比特币,all,2016/7/9,7604
1,比特币,all,2016/7/10,7949
1,比特币,all,2016/7/11,9285
1,比特币,all,2016/7/12,7682
1,比特币,all,2016/7/13,7995
1,比特币,all,2016/7/14,7601
1,比特币,all,2016/7/15,7532
1,比特币,all,2016/7/16,6679
1,比特币,all,2016/7/17,6320
1,比特币,all,2016/7/18,8218
1,比特币,all,2016/7/19,8682
1,比特币,all,2016/7/20,7570
1,比特币,all,2016/7/21,7122
1,比特币,all,2016/7/22,6912
1,比特币,all,2016/7/23,5886
1,比特币,all,2016/7/24,5756
1,比特币,all,2016/7/25,6895
1,比特币,all,2016/7/26,7868
1,比特币,all,2016/7/27,7629
1,比特币,all,2016/7/28,7064
1,比特币,all,2016/7/29,6515
1,比特币,all,2016/7/30,5982
1,比特币,all,2016/7/31,6107
1,比特币,all,2016/8/1,8285
1,比特币,all,2016/8/2,7471
1,比特币,all,2016/8/3,11994
1,比特币,all,2016/8/4,10606
1,比特币,all,2016/8/5,8971
1,比特币,all,2016/8/6,6797
1,比特币,all,2016/8/7,5956
1,比特币,all,2016/8/8,7220
1,比特币,all,2016/8/9,6240
1,比特币,all,2016/8/10,7150
1,比特币,all,2016/8/11,6328
1,比特币,all,2016/8/12,5615
1,比特币,all,2016/8/13,4651
1,比特币,all,2016/8/14,4653
1,比特币,all,2016/8/15,7183
1,比特币,all,2016/8/16,6224
1,比特币,all,2016/8/17,6014
1,比特币,all,2016/8/18,6143
1,比特币,all,2016/8/19,6650
1,比特币,all,2016/8/20,5339
1,比特币,all,2016/8/21,5051
1,比特币,all,2016/8/22,6819
1,比特币,all,2016/8/23,6112
1,比特币,all,2016/8/24,6315
1,比特币,all,2016/8/25,6201
1,比特币,all,2016/8/26,6694
1,比特币,all,2016/8/27,6444
1,比特币,all,2016/8/28,5435
1,比特币,all,2016/8/29,6460
1,比特币,all,2016/8/30,5849
1,比特币,all,2016/8/31,5432
1,比特币,all,2016/9/1,5187
1,比特币,all,2016/9/2,4958
1,比特币,all,2016/9/3,4258
1,比特币,all,2016/9/4,4913
1,比特币,all,2016/9/5,6719
1,比特币,all,2016/9/6,6059
1,比特币,all,2016/9/7,5964
1,比特币,all,2016/9/8,6257
1,比特币,all,2016/9/9,5685
1,比特币,all,2016/9/10,4976
1,比特币,all,2016/9/11,5373
1,比特币,all,2016/9/12,7195
1,比特币,all,2016/9/13,6038
1,比特币,all,2016/9/14,5292
1,比特币,all,2016/9/15,3787
